{{Passive skill
|id                                  = lord_of_the_dead1122
|int_id                              = 27611
|name                                = Lord of the Dead
|is_notable                          = True
|icon                                = lordofthedead
|stat1_id                            = base_number_of_skeletons_allowed
|stat1_value                         = 1
|stat2_id                            = base_number_of_zombies_allowed
|stat2_value                         = 1
|stat3_id                            = minion_maximum_life_+%
|stat3_value                         = 15
|stat4_id                            = minion_damage_+%
|stat4_value                         = 20
|stat_text                           = +1 to Maximum number of Skeletons<br>+1 to Maximum number of Raised Zombies<br>[[Minion|Minions]] have 15% increased maximum [[Life]]<br>[[Minion|Minions]] deal 20% increased Damage
|connections                         = minion_life279,minion_damage285,intelligence101,minion_damage285,minion_life279
}}
