{{Mod
|id                               = AddedLightningDamageEldritchImplicit5
|mod_groups                       = LightningDamage
|domain                           = 1
|generation_type                  = 28
|required_level                   = 75
|mod_type                         = LightningDamage
|stat_text                        = Adds (2-4) to (32-35) [[Lightning Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_lightning_damage
|stat1_min                        = 2
|stat1_max                        = 4
|stat2_id                         = attack_maximum_added_lightning_damage
|stat2_min                        = 32
|stat2_max                        = 35
|spawn_weight1_tag                = no_tier_2_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = gloves
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental_damage, damage, elemental, lightning, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
