{{Mod
|id                               = MapMonsterChainLabyrinth
|mod_groups                       = MapMonsterChain
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MapMonsterChainMap2Tier
|stat_text                        = 10% increased Quantity of Items found in this Area<br>20% increased Rarity of Items found in this Area<br>Monsters' [[Skill|skills]] Chain 2 additional times
|stat1_id                         = map_item_drop_quantity_+%
|stat1_min                        = 10
|stat1_max                        = 10
|stat2_id                         = map_item_drop_rarity_+%
|stat2_min                        = 20
|stat2_max                        = 20
|stat3_id                         = map_monster_skills_chain_X_additional_times
|stat3_min                        = 2
|stat3_max                        = 2
}}
