{{Area
|id                               = MapAtlasVaalTemple
|name                             = Vaal Temple
|act                              = 11
|area_level                       = 83
|area_type_tags                   = dungeon, temple
|tags                             = indoors_area, map, cannot_be_twinned, einharmaps, vaal_pyramid_area, triple_boss_map
|loading_screen                   = VaalAreas
|parent_area_id                   = 2_11_endgame_town
|boss_monster_ids                 = Metadata/Monsters/DemonBosses/DemonBoss1/DemonBoss1Map, Metadata/Monsters/DemonBosses/DemonBoss2/DemonBoss2Map, Metadata/Monsters/DemonBosses/DemonBoss3/DemonBoss3Map
|entry_text                       = Voices. Visions. Violence. They will haunt these grounds for all of eternity.
|entry_npc                        = The Shaper
|is_map_area                      = True
|main_page                        = Vaal Temple Map
}}
