{{Mod
|id                               = NecropolisHinder1
|domain                           = 36
|generation_type                  = 34
|required_level                   = 1
|mod_groups                       = NecropolisHinder
|mod_type                         = NecropolisHinder
|game_mode                        = 0
|stat_text                        = 25% chance to Hinder Enemies on [[Hit]] with [[Spell|Spells]]
|stat1_id                         = spells_chance_to_hinder_on_hit_%
|stat1_min                        = 25
|stat1_max                        = 25
|spawn_weight1_tag                = default
|spawn_weight1_value              = 600
}}
