{{Mod
|id                               = MinionsPoisonEnemiesOnHitUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MinionsPoisonEnemiesOnHit
|mod_type                         = MinionsPoisonEnemiesOnHit
|game_mode                        = 0
|stat_text                        = [[Minion|Minions]] have 60% chance to [[Poison]] Enemies on [[Hit]]
|stat1_id                         = minions_chance_to_poison_on_hit_%
|stat1_min                        = 60
|stat1_max                        = 60
|tags                             = poison, chaos, minion, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
