{{Mod
|id                               = IncreasedLifeEmptyRedSocketUnique__1
|mod_groups                       = EmptyGemSocketBonus
|domain                           = 1
|generation_type                  = 3
|required_level                   = 60
|mod_type                         = IncreasedLifeEmptyRedSocket
|stat_text                        = +40 to maximum [[Life]] for each Empty Red [[Item socket|Socket]] on any Equipped Item
|stat1_id                         = maximum_life_+_per_empty_red_socket
|stat1_min                        = 40
|stat1_max                        = 40
|tags                             = resource, life
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
