{{Mod
|id                               = NecropolisEvasion4
|mod_groups                       = NecropolisEvasion
|domain                           = 36
|generation_type                  = 34
|required_level                   = 84
|mod_type                         = NecropolisEvasion
|stat_text                        = +75% chance to Evade [[Attack]] [[Hit|Hits]]
|stat1_id                         = chance_to_evade_attacks_%
|stat1_min                        = 75
|stat1_max                        = 75
|stat2_id                         = monster_necropolis_mod_value_+%
|stat2_min                        = 160
|stat2_max                        = 160
|spawn_weight1_tag                = default
|spawn_weight1_value              = 300
}}
