{{Mod
|id                               = SanctumSpecialAllResistances
|mod_groups                       = AllResistances
|domain                           = 32
|generation_type                  = 2
|required_level                   = 75
|name                             = of the Rainbow
|mod_type                         = AllResistances
|stat_text                        = +(10-15)% to all [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = base_resist_all_elements_%
|stat1_min                        = 10
|stat1_max                        = 15
|spawn_weight1_tag                = dex_special_relic
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 250
|tags                             = elemental, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
