{{Mod
|id                               = SanctumSpecialSpellAddedFireDamage
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 32
|generation_type                  = 1
|required_level                   = 75
|name                             = Cremating
|mod_type                         = SpellAddedFireDamage
|stat_text                        = Adds (14-18) to (29-33) [[Fire Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_fire_damage
|stat1_min                        = 14
|stat1_max                        = 18
|stat2_id                         = spell_maximum_added_fire_damage
|stat2_min                        = 29
|stat2_max                        = 33
|spawn_weight1_tag                = int_special_relic
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 250
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
