{{Mod
|id                               = DisplaySupportedByImmolateUnique__1
|mod_groups                       = Supported
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportImmolation
|mod_type                         = DisplaySupportedByImmolate
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Immolate Support|Level 15 Immolate]]
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_immolate
|stat1_min                        = 15
|stat1_max                        = 15
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
