{{Passive skill
|id                                  = banner_node_2893
|int_id                              = 35406
|name                                = Banner Maximum Valour and Duration
|icon                                = BannerDurationNode
|stat1_id                            = banner_resource_maximum_+
|stat1_value                         = 5
|stat2_id                            = banner_duration_+%
|stat2_value                         = 8
|stat_text                           = +5 to maximum Valour<br>Banner [[Skill|Skills]] have 8% increased Duration
|connections                         = banner_node_2892_,dexterity844,banner_node_2896
}}
