{{Mod
|id                               = ElementalSkillsTripleDamageUnique__1
|mod_groups                       = BaseChanceToDealTripleDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 85
|mod_type                         = ElementalSkillsTripleDamage
|stat_text                        = Deal Triple Damage with Elemental [[Skill|Skills]]
|stat1_id                         = elemental_skills_deal_triple_damage
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = elemental_damage, damage, elemental
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 8
}}
