{{Mod
|id                               = ShockEffectLeechingESUnique__1
|mod_groups                       = ShockEffect
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ShockEffectLeechingES
|stat_text                        = (60-100)% increased Effect of [[Shock|Shocks]] you inflict while Leeching [[Energy Shield]]
|stat1_id                         = shock_effect_+%_while_es_leeching
|stat1_min                        = 60
|stat1_max                        = 100
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
