{{Base item
|rarity_id                               = normal
|name                                    = The Deceiver
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Beware the combatant who shows no confidence, yet still enters the ring, for they are surely hiding something.
|drop_level                              = 23
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, unique_corrupted_divination, corrupted_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheDeceiver
|stack_size                              = 4
|description                             = {{c|unique|{{il|html=|Belt of the Deceiver}}}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
