{{Mod
|id                               = FreezeProliferationUnique__1
|mod_groups                       = FreezeProliferation
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FreezeProliferationAmulet
|stat_text                        = [[Freeze|Freezes]] you inflict spread to other Enemies within a Radius of 15
|stat1_id                         = amulet_freeze_proliferation_radius
|stat1_min                        = 15
|stat1_max                        = 15
}}
