{{Mod
|id                               = VillageAdditionalProjectiles
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = AdditionalProjectiles
|mod_type                         = AdditionalProjectiles
|game_mode                        = 0
|stat_text                        = [[Skill|Skills]] fire an additional Projectile
|stat1_id                         = number_of_additional_projectiles
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = village_runesmithing_enchant
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
