{{Mod
|id                               = AbyssAddedPhysicalSuffixJewel1
|mod_groups                       = AddedPhysicalSuffix
|domain                           = 13
|generation_type                  = 2
|required_level                   = 34
|name                             = of Weight
|mod_type                         = AddedPhysicalSuffix
|stat_text                        = Adds 1 to 3 [[Physical Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_physical_damage
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = attack_maximum_added_physical_damage
|stat2_min                        = 3
|stat2_max                        = 3
|spawn_weight1_tag                = abyss_jewel_melee
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = abyss_jewel_ranged
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
