{{Passive skill
|id                                  = mine_criticals2655
|int_id                              = 42744
|name                                = Mine Critical Strike Chance and Multiplier
|icon                                = trapsradius
|stat1_id                            = mine_critical_strike_chance_+%
|stat1_value                         = 15
|stat2_id                            = mine_critical_strike_multiplier_+
|stat2_value                         = 8
|stat_text                           = 15% increased [[Critical Strike Chance]] with [[Mine|Mines]]<br>+8% to [[Critical Strike Multiplier]] with [[Mine|Mines]]
|connections                         = mine_criticals2653,mine_criticals2654,intelligence899
}}
