{{Passive skill
|id                                  = bow_area_notable2586
|int_id                              = 48823
|name                                = Deadly Draw
|is_notable                          = True
|icon                                = deadlydraw
|stat1_id                            = damaging_ailments_deal_damage_+%_faster
|stat1_value                         = 10
|stat2_id                            = damage_over_time_+%_with_bow_skills
|stat2_value                         = 30
|stat_text                           = Damaging Ailments deal damage 10% faster<br>30% increased Damage Over Time with [[Bow]] [[Skill|Skills]]
|connections                         = bow_damage_and_critical_strike_chance495,mastery_bow35,bow_damage_accuracy2512,bow_damage_and_critical_strike_chance495,mastery_bow35
}}
