{{Passive skill
|id                                  = claw_critical2034
|int_id                              = 49568
|name                                = Claw Critical Strike Chance and Multiplier
|icon                                = ClawCritStrikeChanceNode
|stat1_id                            = claw_critical_strike_chance_+%
|stat1_value                         = 20
|stat2_id                            = claw_critical_strike_multiplier_+
|stat2_value                         = 10
|stat_text                           = 20% increased [[Critical Strike Chance]] with [[Claw|Claws]]<br>+10% to [[Critical Strike Multiplier]] with [[Claw|Claws]]
|connections                         = claw_critical2032,claw_attack_speed1812
}}
