{{Base item
|rarity_id                               = normal
|name                                    = The Mind's Eyes
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Through the eyes of a person, <br>you can see their soul<br>Through the eyes of a jewel, <br>you can see the universe
|drop_level                              = 68
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheMindsEyes
|stack_size                              = 7
|description                             = {{c|unique|{{il|html=|Astral Projector}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
