{{Mod
|id                               = SynthesisImplicitMinimumFrenzyCharge1_
|mod_groups                       = MinimumFrenzyCharges
|domain                           = 1
|generation_type                  = 3
|required_level                   = 55
|mod_type                         = MinimumFrenzyCharges
|stat_text                        = +(1-2) to Minimum [[Frenzy Charge|Frenzy Charges]]
|stat1_id                         = base_minimum_frenzy_charges
|stat1_min                        = 1
|stat1_max                        = 2
|tags                             = frenzy_charge
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
