{{Mod
|id                               = SentinelDroneGrantModsToKillerUnique1
|mod_groups                       = SentinelDroneGrantModsToKiller
|domain                           = 30
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = SentinelDroneGrantModsToKiller
|stat_text                        = When a Character [[Kill|Kills]] an Empowered Rare Monster,<br />they gain its Modifiers for 20 seconds
|stat1_id                         = sentinel_monster_gives_mods_to_killer_chance_%
|stat1_min                        = 100
|stat1_max                        = 100
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
