{{Passive skill
|id                                  = bone_smasher81
|int_id                              = 40645
|name                                = Bone Breaker
|is_notable                          = True
|icon                                = macedmg
|stat1_id                            = physical_mace_damage_+%
|stat1_value                         = 30
|stat2_id                            = base_skill_area_of_effect_+%
|stat2_value                         = 12
|stat3_id                            = mace_ailment_damage_+%
|stat3_value                         = 30
|stat_text                           = 30% increased [[Physical Damage]] with [[Mace|Maces]] or Sceptres<br>12% increased Area of Effect<br>[[Mace]] or Sceptre [[Attack|Attacks]] deal 30% increased Damage with Ailments
|connections                         = mace_damage_and_reduced_enemy_stun_threshold63,mastery_mace153,mace_damage_and_attack_speed68,mace_damage_and_reduced_enemy_stun_threshold63,mastery_mace153
}}
