{{Mod
|id                               = EnchantmentSumonChaosGolemDamage2
|mod_groups                       = SkillEnchantment
|domain                           = 1
|generation_type                  = 10
|required_level                   = 75
|name                             = Enchantment Sumon Chaos Golem Damage 2
|mod_type                         = EnchantmentSumonChaosGolemDamage
|stat_text                        = [[Summon Chaos Golem|Chaos Golems]] deal 40% increased Damage
|stat1_id                         = chaos_golem_damage_+%
|stat1_min                        = 40
|stat1_max                        = 40
|spawn_weight1_tag                = helmet
|spawn_weight1_value              = 100
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
