{{Mod
|id                               = SupportedByLifeLeechCorrupted
|mod_groups                       = SupportedByLifeLeech
|domain                           = 1
|generation_type                  = 5
|required_level                   = 59
|granted_skill                    = SupportLifeLeech
|mod_type                         = SupportedByLifeLeech
|stat_text                        = [[Item socket|Socketed]] Gems are supported by [[Life Leech Support|Level 15 Life Leech]]
|stat1_id                         = local_display_socketed_gems_get_life_leech_level
|stat1_min                        = 15
|stat1_max                        = 15
|spawn_weight1_tag                = claw
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
