{{Base item
|rarity_id                               = normal
|name                                    = The Eye of the Dragon
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Some powers are far too great even for the<br>gods of old.
|drop_level                              = 23
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, unique_corrupted_divination, corrupted_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheEyeOfTheDragon
|stack_size                              = 10
|description                             = {{c|unique|[[Jewel]]}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
