{{Mod
|id                               = UnarmedStrikeRangeUnique__1
|domain                           = 10
|generation_type                  = 3
|required_level                   = 97
|mod_groups                       = UnarmedRange
|mod_type                         = UnarmedRange
|game_mode                        = 0
|stat_text                        = +(0.1-0.7) metres to Melee Strike Range with Unarmed [[Attack|Attacks]]
|stat1_id                         = melee_range_+_while_unarmed
|stat1_min                        = 1
|stat1_max                        = 7
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
