{{Mod
|id                               = LocalIncreaseSocketedGemLevelUnique__7
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = IncreaseSocketedGemLevel
|mod_type                         = LocalIncreaseSocketedGemLevel
|game_mode                        = 0
|stat_text                        = +1 to [[Level]] of [[Item socket|Socketed]] Gems
|stat1_id                         = local_socketed_gem_level_+
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
