{{Passive skill
|id                                  = affliction_notable_wardbreaker
|int_id                              = 61549
|name                                = Forbidden Words
|is_notable                          = True
|icon                                = CurseEffectNotable
|stat1_id                            = curse_aura_skill_area_of_effect_+%
|stat1_value                         = 25
|stat2_id                            = curse_aura_skills_mana_reservation_efficiency_+%
|stat2_value                         = 15
|stat_text                           = 25% increased Area of Effect of [[Curse]] Aura [[Skill|Skills]]<br>15% increased [[Mana Reservation]] Efficiency of [[Curse]] Aura [[Skill|Skills]]
}}
