{{Mod
|id                               = FireDamageToBlindEnemies__1
|mod_groups                       = FireDamageToBlindEnemies
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FireDamageToBlindEnemies
|stat_text                        = (30-50)% increased [[Fire Damage]] with [[Hit|Hits]] and Ailments against Blinded Enemies
|stat1_id                         = fire_damage_+%_to_blinded_enemies
|stat1_min                        = 30
|stat1_max                        = 50
|tags                             = elemental_damage, damage, elemental, fire
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
