{{Mod
|id                               = SpellDamageOnWeaponArcaneSurgeUber3
|mod_groups                       = WeaponCasterDamagePrefix
|domain                           = 1
|generation_type                  = 1
|required_level                   = 80
|name                             = The Shaper's
|granted_skill                    = SupportArcaneSurge
|mod_type                         = WeaponSpellDamageArcaneSurge
|stat_text                        = (84-87)% increased [[Spell Damage]]<br>[[Item socket|Socketed]] Gems are Supported by [[Arcane Surge Support|Level 20 Arcane Surge]]
|stat1_id                         = spell_damage_+%
|stat1_min                        = 84
|stat1_max                        = 87
|stat2_id                         = local_display_socketed_gems_supported_by_level_x_arcane_surge
|stat2_min                        = 20
|stat2_max                        = 20
|spawn_weight1_tag                = grants_2h_support
|spawn_weight1_value              = 0
|spawn_weight2_tag                = attack_staff
|spawn_weight2_value              = 0
|spawn_weight3_tag                = staff_shaper
|spawn_weight3_value              = 0
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|generation_weight1_tag           = has_caster_mod
|generation_weight1_value         = 100
|generation_weight2_tag           = has_attack_mod
|generation_weight2_value         = 50
|generation_weight3_tag           = default
|generation_weight3_value         = 100
|tags                             = support, caster_damage, damage, caster, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
