{{Mod
|id                               = IncreasedCastSpeedUber2
|mod_groups                       = IncreasedAttackSpeed
|domain                           = 1
|generation_type                  = 2
|required_level                   = 75
|name                             = of Shaping
|granted_skill                    = SupportFasterCast
|mod_type                         = IncreasedCastSpeedSupported
|stat_text                        = (10-12)% increased [[Cast Speed]]<br>[[Item socket|Socketed]] Gems are Supported by [[Faster Casting Support|Level 18 Faster Casting]]
|stat1_id                         = base_cast_speed_+%
|stat1_min                        = 10
|stat1_max                        = 12
|stat2_id                         = local_display_socketed_gems_get_faster_cast_level
|stat2_min                        = 18
|stat2_max                        = 18
|spawn_weight1_tag                = gloves_shaper
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, caster, speed, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
