{{Passive skill
|id                                  = affliction_notable_flaming_doom
|int_id                              = 33
|name                                = Lord of Drought
|is_notable                          = True
|icon                                = CurseEffectNotable
|stat1_id                            = fire_weakness_ignores_hexproof
|stat1_value                         = 1
|stat2_id                            = ignite_damage_against_cursed_enemies_+%
|stat2_value                         = 30
|stat_text                           = [[Flammability]] can affect Hexproof Enemies<br>30% increased Damage with [[Ignite|Ignites]] inflicted on Cursed Enemies
}}
