{{Passive skill
|id                                  = atlas_keystone_eater_of_worlds
|int_id                              = 57976
|name                                = Insatiable Appetite
|flavour_text                        = At the core of the mass, a fierce hunger seethes, as the Tangle's champion devours a myriad of worlds...
|is_keystone                         = True
|is_atlas_passive                    = True
|icon                                = EaterOfWorldsKeystone
|stat1_id                            = atlas_keystone_uber_eater_of_worlds
|stat1_value                         = 1
|stat2_id                            = eater_of_worlds_boss_map_monster_damage_taken_+%_final
|stat2_value                         = -70
|stat3_id                            = eater_of_worlds_additional_exceptional_ichor_chance_%
|stat3_value                         = 25
|stat_text                           = The Absence of Symmetry and Harmony is [[Level|level]] 85<br />The Eater of Worlds' full power is unleashed in The Absence of Symmetry and Harmony<br>The Eater of Worlds has 25% chance to drop an additional Exceptional Eldritch Ichor
}}
