{{Mod
|id                               = MinionRunSpeedUnique__5
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MinionMovementSpeed
|mod_type                         = MinionRunSpeed
|game_mode                        = 0
|stat_text                        = [[Minion|Minions]] have (40-50)% increased [[Movement Speed]]
|stat1_id                         = minion_movement_speed_+%
|stat1_min                        = 40
|stat1_max                        = 50
|tags                             = speed, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
