{{Mod
|id                               = ExpeditionRelicModifierIgnoreArmour_
|domain                           = 27
|generation_type                  = 1
|required_level                   = 1
|mod_groups                       = ExpeditionRelicModifierIgnoreArmour
|mod_type                         = ExpeditionRelicModifierIgnoreArmour
|game_mode                        = 0
|stat_text                        = [[Hit|Hits]] ignore Enemy [[Physical Damage]] Reduction
|stat1_id                         = hits_ignore_enemy_monster_physical_damage_reduction_%_chance
|stat1_min                        = 100
|stat1_max                        = 100
|spawn_weight1_tag                = default
|spawn_weight1_value              = 1000
}}
