{{Base item
|rarity_id                               = normal
|name                                    = Lysah's Respite
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = So many memories,<br>so much pain in<br>such a small token.<br>Drown it in blood<br>so you can forget.
|drop_level                              = 23
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, unique_corrupted_divination, corrupted_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardLysahsRespite
|stack_size                              = 6
|description                             = {{c|unique|{{il|html=|Agate Amulet}}}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
