{{Passive skill
|id                                  = AscendancyCustomRaider16
|int_id                              = 43474
|name                                = Minion Damage and Movement Speed
|ascendancy_class                    = Warden
|icon                                = BestiaryNotable6 (AtlasTrees)
|stat1_id                            = minion_damage_+%
|stat1_value                         = 10
|stat2_id                            = base_movement_velocity_+%
|stat2_value                         = 3
|stat_text                           = [[Minion|Minions]] deal 10% increased Damage<br>3% increased [[Movement Speed]]
}}
