{{Mod
|id                               = CannotHaveNonGolemMinionsUnique__1_
|mod_groups                       = CannotHaveNonGolemMinions
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = CannotHaveNonGolemMinions
|stat_text                        = You cannot have non-Golem [[Minion|Minions]]
|stat1_id                         = you_cannot_have_non_golem_minions
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
