{{Mod
|id                               = HungryLoopSupportedByColdPenetration_
|mod_groups                       = HungryLoop
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportColdPenetration
|mod_type                         = HungryLoopSupportedByColdPenetration
|stat_text                        = Has Consumed 1 Gem<br>[[Item socket|Socketed]] Gems are Supported by [[Cold Penetration Support|Level 20 Cold Penetration]]
|stat1_id                         = local_unique_hungry_loop_number_of_gems_to_consume
|stat1_min                        = -1
|stat1_max                        = -1
|stat2_id                         = local_unique_hungry_loop_has_consumed_gem
|stat2_min                        = 1
|stat2_max                        = 1
|stat3_id                         = local_display_socketed_gems_supported_by_x_cold_penetration
|stat3_min                        = 20
|stat3_max                        = 20
|tags                             = support, gem
}}
