{{Mod
|id                               = AddedChaosDamageUnique__2
|mod_groups                       = ChaosDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ChaosDamage
|stat_text                        = Adds (7-10) to (15-18) [[Chaos Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_chaos_damage
|stat1_min                        = 7
|stat1_max                        = 10
|stat2_id                         = attack_maximum_added_chaos_damage
|stat2_min                        = 15
|stat2_max                        = 18
|tags                             = chaos_damage, damage, chaos, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
