{{Mod
|id                               = LocalIncreaseSocketedSpellGemLevelRace
|mod_groups                       = IncreaseSpecificSocketedGemLevel
|domain                           = 1
|generation_type                  = 1
|required_level                   = 1
|name                             = Competitor's
|mod_type                         = LocalIncreaseSocketedSpellGemLevel
|stat_text                        = +1 to [[Level]] of [[Item socket|Socketed]] [[Spell]] Gems
|stat1_id                         = local_socketed_spell_gem_level_+
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = caster, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
