{{Mod
|id                               = MinionColdResistUnique__1
|mod_groups                       = MinionColdResist
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionColdResist
|stat_text                        = [[Minion|Minions]] have +40% to [[Cold Resistance]]
|stat1_id                         = minion_cold_damage_resistance_%
|stat1_min                        = 40
|stat1_max                        = 40
|tags                             = elemental, cold, resistance, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
