{{Mod
|id                               = EinharMasterAllResist1
|domain                           = 9
|generation_type                  = 2
|required_level                   = 30
|name                             = of Craft
|mod_groups                       = AllResistances
|mod_type                         = AllResistances
|game_mode                        = 0
|stat_text                        = +(5-8)% to all [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = base_resist_all_elements_%
|stat1_min                        = 5
|stat1_max                        = 8
|tags                             = elemental, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
