{{Mod
|id                               = ColdResistEnhancedLevel50ModAilments
|mod_groups                       = ColdResistance
|domain                           = 1
|generation_type                  = 2
|required_level                   = 50
|name                             = of Puhuarte
|mod_type                         = ColdResistanceAilments
|stat_text                        = +(46-48)% to [[Cold Resistance]]<br>(30-50)% increased Damage with [[Hit|Hits]] against Chilled Enemies
|stat1_id                         = base_cold_damage_resistance_%
|stat1_min                        = 46
|stat1_max                        = 48
|stat2_id                         = damage_+%_vs_chilled_enemies
|stat2_min                        = 30
|stat2_max                        = 50
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental_damage, damage, elemental, cold, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
