{{Mod
|id                               = SpellAddedColdDamageUniqueBootsStrDex5
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = SpellAddedColdDamage
|stat_text                        = Adds (25-30) to (40-50) [[Cold Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_cold_damage
|stat1_min                        = 25
|stat1_max                        = 30
|stat2_id                         = spell_maximum_added_cold_damage
|stat2_min                        = 40
|stat2_max                        = 50
|tags                             = elemental_damage, caster_damage, damage, elemental, cold, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
