{{Mod
|id                               = FrenzyChargePerEnemyCritUnique__1
|mod_groups                       = FrenzyChargeOnCriticalHit
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FrenzyChargePerEnemyCrit
|stat_text                        = (20-40)% chance to gain a [[Frenzy Charge]] for each Enemy you [[Hit|hit]] with a [[Critical Strike]]
|stat1_id                         = gain_frenzy_charge_per_enemy_you_crit_%_chance
|stat1_min                        = 20
|stat1_max                        = 40
|tags                             = frenzy_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
