{{Mod
|id                               = MinionDamageSupportedUber2
|mod_groups                       = MinionDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 75
|name                             = The Elder's
|granted_skill                    = SupportMinionDamage
|mod_type                         = MinionDamageSupported
|stat_text                        = [[Minion|Minions]] deal (19-22)% increased Damage<br>[[Item socket|Socketed]] Gems are Supported by [[Minion Damage Support|Level 18 Minion Damage]]
|stat1_id                         = minion_damage_+%
|stat1_min                        = 19
|stat1_max                        = 22
|stat2_id                         = local_display_socketed_gems_supported_by_x_increased_minion_damage_level
|stat2_min                        = 18
|stat2_max                        = 18
|spawn_weight1_tag                = helmet_elder
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, damage, minion, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
