{{Mod
|id                               = MonsterResists1
|mod_groups                       = MonsterResists
|domain                           = 3
|generation_type                  = 3
|required_level                   = 8
|name                             = of Elemental Resistance
|mod_type                         = MonsterResists
|stat_text                        = +40% to all [[Elemental Resistance|Elemental Resistances]] (Hidden)
|stat1_id                         = base_resist_all_elements_%
|stat1_min                        = 40
|stat1_max                        = 40
|spawn_weight1_tag                = default
|spawn_weight1_value              = 1000
|tags                             = elemental, resistance
}}
