{{Mod
|id                               = SocketedGemsAddedCooldownUnique__1__
|mod_groups                       = SocketedGemsAddedCooldown
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportProjectileSpellsCooldownUnique
|mod_type                         = SocketedGemsAddedCooldown
|stat_text                        = [[Item socket|Socketed]] Projectile [[Spell|Spells]] have +4 seconds to Cooldown
|stat1_id                         = local_display_socketed_gems_projectile_spells_cooldown_modifier_ms
|stat1_min                        = 4000
|stat1_max                        = 4000
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
