{{Mod
|id                               = MinionLifeEssence6
|mod_groups                       = MinionLife
|domain                           = 1
|generation_type                  = 2
|required_level                   = 74
|name                             = of the Essence
|mod_type                         = MinionLife
|stat_text                        = [[Minion|Minions]] have (25-27)% increased maximum [[Life]]
|stat1_id                         = minion_maximum_life_+%
|stat1_min                        = 25
|stat1_max                        = 27
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = resource, life, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
