{{Mod
|id                               = AttacksChainInMainHandUnique__1
|mod_groups                       = Chain
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AttacksChainInMainHand
|stat_text                        = [[Attack|Attacks]] Chain an additional time when in Main Hand
|stat1_id                         = attacks_num_of_additional_chains_when_in_main_hand
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
