{{Mod
|id                               = MonsterTwoAdditionalTotems
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = AdditionalTotems
|mod_type                         = AdditionalTotems
|game_mode                        = 0
|stat_text                        = +2 to maximum number of Summoned [[Totem|Totems]] (Hidden)
|stat1_id                         = number_of_additional_totems_allowed
|stat1_min                        = 2
|stat1_max                        = 2
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
