{{Mod
|id                               = MinionElementalResistancesUnique__1
|mod_groups                       = MinionElementalResistances
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionElementalResistancesForJewel
|stat_text                        = [[Minion|Minions]] have +(7-10)% to all [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = minion_elemental_resistance_%
|stat1_min                        = 7
|stat1_max                        = 10
|tags                             = elemental, resistance, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
