{{Mod
|id                               = EinharMasterVaalSkillDamage1
|domain                           = 9
|generation_type                  = 1
|required_level                   = 24
|name                             = Upgraded
|mod_groups                       = VaalSkillDamage
|mod_type                         = VaalSkillDamage
|game_mode                        = 0
|stat_text                        = (20-60)% increased Damage with Vaal [[Skill|Skills]]
|stat1_id                         = vaal_skill_damage_+%
|stat1_min                        = 20
|stat1_max                        = 60
|tags                             = damage, vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
