{{Mod
|id                               = SynthesisImplicitMinionMovementSpeed2
|domain                           = 1
|generation_type                  = 3
|required_level                   = 36
|mod_groups                       = MinionMovementSpeed
|mod_type                         = MinionMovementSpeed
|game_mode                        = 0
|stat_text                        = [[Minion|Minions]] have (6-7)% increased [[Movement Speed]]
|stat1_id                         = minion_movement_speed_+%
|stat1_min                        = 6
|stat1_max                        = 7
|tags                             = speed, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
