{{Mod
|id                               = SynthesisImplicitFlatFireDamageTaken3
|domain                           = 1
|generation_type                  = 3
|required_level                   = 24
|mod_groups                       = FireDamageTaken
|mod_type                         = FlatFireDamageTaken
|game_mode                        = 0
|stat_text                        = -(80-40) [[Fire Damage]] taken from [[Hit|Hits]]
|stat1_id                         = fire_damage_taken_+
|stat1_min                        = -80
|stat1_max                        = -40
|tags                             = elemental, fire
}}
