{{Mod
|id                               = EinharMasterWeaponElementalDamage2
|mod_groups                       = IncreasedWeaponElementalDamagePercent
|domain                           = 9
|generation_type                  = 1
|required_level                   = 50
|name                             = Upgraded
|mod_type                         = IncreasedWeaponElementalDamagePercent
|stat_text                        = (24-32)% increased [[Elemental Damage]] with [[Attack]] [[Skill|Skills]]
|stat1_id                         = elemental_damage_with_attack_skills_+%
|stat1_min                        = 24
|stat1_max                        = 32
|tags                             = elemental_damage, damage, elemental, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
