{{Passive skill
|id                                  = staff_spells_and_area2315
|int_id                              = 57670
|name                                = Staff Cast Speed and Block
|icon                                = StaffNodeOffensive
|stat1_id                            = area_of_effect_+%_while_wielding_staff
|stat1_value                         = 6
|stat2_id                            = staff_attack_speed_+%
|stat2_value                         = 3
|stat3_id                            = cast_speed_+%_while_holding_staff
|stat3_value                         = 3
|stat_text                           = 6% increased Area of Effect while wielding a [[Staff]]<br>3% increased [[Attack Speed]] with [[Staff|Staves]]<br>3% increased [[Cast Speed]] while wielding a [[Staff]]
}}
