{{Mod
|id                               = V2AvoidShockAbyssalJewelCorrupted
|mod_groups                       = AvoidShock
|domain                           = 13
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = AvoidShock
|stat_text                        = (20-25)% chance to Avoid being [[Shock|Shocked]]
|stat1_id                         = base_avoid_shock_%
|stat1_min                        = 20
|stat1_max                        = 25
|spawn_weight1_tag                = default
|spawn_weight1_value              = 1000
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
