{{Passive skill
|id                                  = AscendancyPathfinder2
|int_id                              = 51101
|name                                = Nature's Adrenaline
|ascendancy_class                    = Pathfinder
|is_notable                          = True
|icon                                = NaturesAdrenaline (PathFinder)
|stat1_id                            = flask_charges_recovered_per_3_seconds
|stat1_value                         = 3
|stat_text                           = Flasks gain 3 [[Charge|Charges]] every 3 seconds
|connections                         = AscendancyPathfinder3,AscendancyPathfinder1,AscendancyPathfinder3
}}
