{{Base item
|rarity_id                               = normal
|name                                    = A Dusty Memory
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = In the oldest halls of my mind, at the end of a rarely used passage, lies my greatest treasure: one moment of happiness and innocence, pure and untouchable.
|drop_level                              = 68
|tags                                    = divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardADustyMemory
|stack_size                              = 5
|description                             = {{c|rare|Item}}<br>{{c|default|Item Level:}} {{c|normal|100}}<br>{{c|fractured|[[Fractured]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
